horseid,breed,gender,fastq_id
M10089,STDB,M,M10089
M10090,STDB,M,M10090
M10091,STDB,M,M10091
M10092,STDB,F,M10092
M10095,STDB,F,M10095
M10096,STDB,M,M10096
M10101,STDB,F,M10101
M10105,STDB,M,M10105
M10106,STDB,M,M10106
M10107,STDB,M,M10107
M10109,STDB,F,M10109
M10110,STDB,F,M10110
M10112,STDB,F,M10112
M10115,STDB,M,M10115
M10117,STDB,F,M10117
M10128,STDB,F,M10128
M10132,STDB,F,M10132
M10137,STDB,M,M10137
M10140,STDB,M,M10140
M10147,STDB,F,M10147
M10148,STDB,F,M10148
M10149,STDB,F,M10149
M10150,STDB,M,M10150
M10151,STDB,F,M10151
M10152,STDB,F,M10152
M10155,STDB,F,M10155
M10158,STDB,M,M10158
M10162,STDB,M,M10162
M10164,STDB,M,M10164
M10166,STDB,F,M10166
M10170,STDB,F,M10170
M10177,STDB,F,M10177
M10178,STDB,F,M10178
M10180,STDB,F,M10180
M10181,STDB,M,M10181
M10184,STDB,F,M10184
M10186,STDB,M,M10186
M10202,STDB,F,M10202
M10205,STDB,F,M10205
M10206,STDB,F,M10206
M11819,STDB,F,M11819
M11820,STDB,M,M11820
M11821,STDB,M,M11821
M11822,STDB,F,M11822
M11824,STDB,F,M11824
M11825,STDB,F,M11825
M11832,STDB,M,M11832
M11835,STDB,M,M11835
M11851,STDB,M,M11851
M11859,STDB,M,M11859
M11867,STDB,M,M11867
M11870,STDB,F,M11870
M11874,STDB,M,M11874
M11876,STDB,M,M11876
M11879,STDB,M,M11879
M12023,STDB,F,M12023
M12066,STDB,F,M12066
M12067,STDB,M,M12067
M12068,STDB,M,M12068
M12069,STDB,M,M12069
M12070,STDB,M,M12070
M12071,STDB,F,M12071
M12072,STDB,M,M12072
M12073,STDB,M,M12073
M12074,STDB,M,M12074
M12075,STDB,M,M12075
M12076,STDB,M,M12076
M12077,STDB,M,M12077
M12078,STDB,M,M12078
M12079,STDB,M,M12079
M12080,STDB,M,M12080
M12081,STDB,M,M12081
M12082,STDB,M,M12082
M12083,STDB,F,M12083
M12084,STDB,M,M12084
M12085,STDB,M,M12085
M12086,STDB,F,M12086
M12087,STDB,F,M12087
M12088,STDB,M,M12088
M12089,STDB,M,M12089
M12090,STDB,M,M12090
M12091,STDB,F,M12091
M12092,STDB,M,M12092
M12093,STDB,M,M12093
M12094,STDB,M,M12094
M12095,STDB,M,M12095
M12096,STDB,M,M12096
M12097,STDB,M,M12097
M12098,STDB,F,M12098
M12099,STDB,M,M12099
M12100,STDB,M,M12100
M12101,STDB,M,M12101
M12102,STDB,M,M12102
M12103,STDB,F,M12103
M12104,STDB,F,M12104
M12105,STDB,M,M12105
M12106,STDB,M,M12106
M12107,STDB,M,M12107
M12108,STDB,M,M12108
M12109,STDB,M,M12109
M12110,STDB,F,M12110
M12111,STDB,F,M12111
M12112,STDB,M,M12112
M12113,STDB,M,M12113
M12114,STDB,M,M12114
M12115,STDB,M,M12115
M12116,STDB,M,M12116
M12118,STDB,F,M12118
M12119,STDB,F,M12119
M12120,STDB,M,M12120
M12121,STDB,M,M12121
M12122,STDB,F,M12122
M12123,STDB,F,M12123
M12124,STDB,M,M12124
M12125,STDB,F,M12125
M12126,STDB,F,M12126
M12127,STDB,M,M12127
M12128,STDB,F,M12128
M12129,STDB,M,M12129
M12130,STDB,M,M12130
M12131,STDB,M,M12131
M12132,STDB,M,M12132
M12133,STDB,M,M12133
M12134,STDB,F,M12134
M12135,STDB,F,M12135
M12136,STDB,F,M12136
M12137,STDB,M,M12137
M12138,STDB,F,M12138
M12139,STDB,M,M12139
M12140,STDB,F,M12140
M12141,STDB,M,M12141
M12142,STDB,M,M12142
M12143,STDB,M,M12143
M12144,STDB,F,M12144
M12145,STDB,M,M12145
M12146,STDB,F,M12146
M12147,STDB,F,M12147
M12148,STDB,F,M12148
M12149,STDB,M,M12149
M12150,STDB,M,M12150
M12151,STDB,F,M12151
M12152,STDB,M,M12152
M12153,STDB,M,M12153
M12154,STDB,M,M12154
M12155,STDB,F,M12155
M12156,STDB,M,M12156
M12157,STDB,M,M12157
M12158,STDB,M,M12158
M12159,STDB,F,M12159
M12160,STDB,F,M12160
M12161,STDB,M,M12161
M12162,STDB,F,M12162
M12163,STDB,F,M12163
M12164,STDB,M,M12164
M12165,STDB,F,M12165
M12166,STDB,M,M12166
M12167,STDB,M,M12167
M12168,STDB,M,M12168
M12169,STDB,F,M12169
M12170,STDB,M,M12170
M12171,STDB,M,M12171
M12172,STDB,M,M12172
M12173,STDB,M,M12173
M12174,STDB,M,M12174
M12175,STDB,F,M12175
M12176,STDB,F,M12176
M12177,STDB,F,M12177
M12178,STDB,F,M12178
M12179,STDB,M,M12179
M12180,STDB,F,M12180
M12181,STDB,M,M12181
M12182,STDB,M,M12182
M12183,STDB,M,M12183
M12184,STDB,F,M12184
M12185,STDB,M,M12185
M12186,STDB,F,M12186
M12187,STDB,F,M12187
M12188,STDB,F,M12188
M12189,STDB,F,M12189
M12190,STDB,M,M12190
M12191,STDB,F,M12191
M12192,STDB,M,M12192
M12193,STDB,M,M12193
M12194,STDB,M,M12194
M12195,STDB,F,M12195
M12196,STDB,F,M12196
M12197,STDB,F,M12197
M12198,STDB,M,M12198
M12199,STDB,F,M12199
M12200,STDB,M,M12200
M12201,STDB,F,M12201
M12202,STDB,M,M12202
M12203,STDB,F,M12203
M12204,STDB,F,M12204
M12205,STDB,F,M12205
M12206,STDB,M,M12206
M12207,STDB,F,M12207
M12208,STDB,M,M12208
M12209,STDB,F,M12209
M12210,STDB,F,M12210
M12211,STDB,F,M12211
M12212,STDB,M,M12212
M12213,STDB,M,M12213
M12214,STDB,F,M12214
M12215,STDB,F,M12215
M12216,STDB,M,M12216
M12217,STDB,M,M12217
M12218,STDB,M,M12218
M12219,STDB,M,M12219
M12220,STDB,F,M12220
M12221,STDB,F,M12221
